fire_id_sgif,fire_id_anepc,year,datetime_start,datetime_first_intervention,datetime_end,duration_min,dicofre_code,nuts3_region,district,municipality,parish,locality,cause_code,cause_type,cause_description,area_ha_sig,area_ha_sgif,area_ha_forest,area_ha_scrub,area_ha_agricultural,edition
20251237727,20251237727,2025,2025-09-15,2025-09-15,2025-09-15,107,171302,Alto Tâmega e Barroso,Vila Real,Vila Pouca de Aguiar,Alfarela de Jales,Reboredo (Picho),448,Intentional,Arson - Culpable,18.46793646,17.45073376,0.95310642,15.84211052,0.65551682,2026-03-10
20251232871,20251232871,2025,2025-09-14,2025-09-14,2025-09-14,260,171302,Alto Tâmega e Barroso,Vila Real,Vila Pouca de Aguiar,Alfarela de Jales,Cidadelha de Jales (Carvalho Belina),448,Intentional,Arson - Culpable,1.60621257,1.60621257,0.0,1.60621257,0.0,2026-03-10
20251027483,20251027483,2025,2025-08-04,2025-08-04,2025-08-04,173,040516,Terras de Trás-Os-Montes,Bragança,Macedo de Cavaleiros,Lagoa,LAGOA,145,Negligent,Use of fire - Bonfires,0.70123021,0.70123021,0.0,0.0,0.70123021,2026-03-10
20250409296,20250409296,2025,2025-03-29,2025-03-29,2025-03-29,7,040124,Terras de Trás-Os-Montes,Bragança,Alfândega da Fé,União das freguesias de Gebelim e Soeima,GEBELIM (Abichedos),122,Negligent,Burning of forest or agricultural residues,0.04878037,0.65,0.0,0.65,0.0,2025-07-27
20251172122,20251172122,2025,2025-09-01,2025-09-01,2025-09-01,567,040728,Terras de Trás-Os-Montes,Bragança,Mirandela,São Salvador,São Salvador (Vale de Salgueiro),225,Negligent,Accidental - Machinery,11.3560268,11.21342433,1.54189006,6.96063158,2.71090269,2026-03-10
20250969915,20250969915,2025,2025-07-24,2025-07-24,2025-07-24,82,040721,Terras de Trás-Os-Montes,Bragança,Mirandela,Mirandela,Freixedinha (Carreira de Tiro),211,Negligent,Accidental - Transport and Communications,1.96123651,1.96123651,0.0,1.92509755,0.03613896,2026-03-10
20251370652,20251370652,2025,2025-10-12,2025-10-12,2025-10-13,275,171227,Alto Tâmega e Barroso,Vila Real,Valpaços,Vales,Alto do Vale das Carvalhas,449,Intentional,Arson - Culpable,3.58068807,3.58068807,0.95738271,1.94484341,0.67846195,2026-03-10
20251069554,20251069554,2025,2025-08-11,2025-08-11,2025-08-12,283,171223,Alto Tâmega e Barroso,Vila Real,Valpaços,São Pedro de Veiga de Lila,Açoreira,125,Negligent,Burning for pasture management,5.76159281,5.76159281,0.28866094,4.1122706,1.36066127,2026-03-10
20251174219,20251174219,2025,2025-09-01,2025-09-01,2025-09-02,108,171223,Alto Tâmega e Barroso,Vila Real,Valpaços,São Pedro de Veiga de Lila,"Deimãos, Valpaços, Portugal (Deimãos)",125,Negligent,Burning for pasture management,0.51903146,0.51903146,0.0,0.48074863,0.03828283,2026-03-10
20251034465,20251034465,2025,2025-08-05,2025-08-05,2025-08-05,63,171223,Alto Tâmega e Barroso,Vila Real,Valpaços,São Pedro de Veiga de Lila,Deimãos,333,Intentional,Structural - Land use,4.73963403,4.73963403,0.0,1.81773029,2.92190375,2026-03-10
